Candidate 1,Chosen Title,Description,Candidate 2
Sunrise Flat By London Tube! Lots Of Space + A Garden !!!,Sunrise Flat By London Tube! Lots Of Space + A Garden !!!,"AVAILABLE XMAS NEW YEAR 21 22 MINIMUM 7 NIGHTS Stunning, design conscious and spacious 3 bed, 2 bath Victorian flat with terrace and garden. Unique space includes glass ceiling pyramid in one bathroom. Original features, high ceilings, wood floors, wifi, garden. Trendy area, cafes, boutiques. The space Stylish and spacious 3 double bedroom apartment, recently renovated and extended, sleeping 6 people. Open plan kitchen, large breakfast bar with stools and a further dining table in the lounge. Original Victorian features add a great deal of charm including fireplace, architraves, ceiling rose, curved walls and high ceilings. The apartment is beautifully decorated with wooden floors, cable tv including netflix and amazon in living room and wifi throughout. Gorgeous, south-west facing terrace and landscaped garden. The brand new well stocked kitchen houses a dishwasher and microwave plus all kitchen essentials including a pod coffee machine. (Phot",Sunshine Bedrooms + Garden Terraces! Lots Of Tv Shows To Str
En Suite Flat - Sunshine London Central! +1 Bed Room w Showe,En Suite Flat - Sunshine London Central! +1 Bed Room w Showe,"FULLY SELF CONTAINED. A newly renovated, self contained studio space with separate kitchen, on Newington Green, completely private, spacious bedroom, en-suite shower and private kitchenette, with separate street entrance off private courtyard. Modern fixtures and fittings throughout. Great cafes and restaurants excellent transport links right on the doorstep. The space Highly convenient, centrally located and newly refurbished, (Modern fixtures and fittings) private studio flatlet in a Victorian terrace house, in Islington, its own street entrance, en suite shower and private kitchenette. Buses right on your doorstep, and 7 mins from Canonbury Station on the tube network. We have created a fully self contained studio flatlet in the lower ground basement floor in a locally listed Victorian terrace, virtually on Newington Green. As Architects we have paid attention to the detail, and provide clean, modern spaces. T",Private Sunlit Flat near Sainsburys! NEWLY REFAUCHT - LOCAL 
Sunrise over Westminster! Double Room + Shower (Zone) - Cent,Sunrise over Westminster! Double Room + Shower (Zone) - Cent,"Please note. See response below re Coronavirus. This is a clean and private room, with your own key, in a shared apartment. Cleanliness is a priority. Previous guests will check out at least 24 hours before you arrive. A deep clean of the apartment will take place before you arrive. This is central London. You can walk everywhere central including to: London Eye, Big Ben, The Thames and Buckingham Palace. Zone 1 underground stations Waterloo and Southwark are within 3 minutes walk.  The space Large clean and quiet private double room. Free Wi-Fi internet connection Two guests sleep in a double bed or a guest can sleep on a comfortable and solid fold-out sofa-bed This is a shared apartment. The kitchen and bathrooms are shared. There is a separate bathroom and toilet restroom Guest access Check-in and check-out is flexible but the latest check-in possible is 11pm. Cleanliness is a priority. Previous guests ",Sunshine Double Room (Steep) near Tower Hill!  5 min Walk To
Bright Elegant Flat! Near Tube Stations12mins London Bridge ,Bright Elegant Flat! Near Tube Stations12mins London Bridge ,"Modern and fresh, this is a bright two bedroom home in a stylish new development. Well furnished with comfortable modern classics and conveniently near to Farringdon and Barbican stations. The space LIVING ROOM The light and bright living room offers comfy sofas, dining table and chairs for six, large screen TV, WiFi and a balcony. Floor to ceiling double glazing allows fabulous west facing views over the City and will give you an energising king of the castle feeling. BEDROOMS Both of the peaceful bedrooms face the rear, central courtyard. The master bedroom has a queen size bed and ample storage. The second bedroom offers twin beds and built in wardrobes. KITCHEN The smart and modern kitchen is open-plan to the living room with all machines including ceramic hob, oven, fridge freezer, dishwasher, cooking utensils, crockery and cutlery. There are three bar stools under the the breakfast bar. BATHR",Sunshine House by Central Station! :
Bright Sunlit Flat w High Ceiling! -Steeply Sloped Roof (Bri,Sunshine Flat Near Tub + Buses! Guest hubby loving it !!! :),"The space This beautiful flat was recently redecorated to be featured in House & Garden magazine, and has been carefully planned by a fantastic London interior designer. The fabrics and colours used in the flat reflect the personality and lifestyle of the owner, who travels a lot on business and lives part of the year on the Greek island of Patmos. It's a beautiful, peaceful and clean space to be in with high ceilings and masses of natural light. The flat is situated on the ground floor of a Victorian House, with a huge living dining space, kitchen and one bedroom with en-suite bathroom. There is wireless internet access and washing machine. This newly decorated, light and airy flat is situated on Hammersmith Grove which is wide tree lined Avenue with beautiful Regency and Victorian Townhouses. It's 5 minutes walk from Hammersmith tube station, 5 minutes walk from Goldhawk Road tube station and a short walk from Shepherds Bush station giving acce",Sunshine Flat Near Tub + Buses! Guest hubby loving it !!! :)
Stunning Flat + Private Garden In NW5 | Near West End&Tube S,Stunning Flat + Private Garden In NW5 | Near West End&Tube S,"Beautifully presented 2 bedroom, 2 bathroom period apt situated on a quiet residential st. has an air of calm & tranquillity. With a peaceful studio in a pretty secluded garden this property has ample space for comfortable living & entertaining. The space *AS SEEN ON ITV!* LONDON’S BEST! TRULY UNIQUE, HAS IT ALL! Ambience, Amenities, Accessibility to Attractions, Attention & Care… for lettings over 90 days! CENTRAL LONDON DESIGNER FLAT –A 2 BEDROOM 2 BATHROOM GARDEN OASIS IN THE HEART OF VIBRANT NOTTING HILL.... SEE PHOTOS! 1.In the words of our Guests… Ambience: “Your search is over!!” “This home is a magical place” “We were truly blessed to have stayed here.” “… gem of a flat in the middle of Notting Hill… just absolutely phenomenal” “absolutely incredible!” “in a word, amazing “ “You get the hustle and bustle of London life with the peac",Sunshine Loft Next To Big Ben!!! Notthinghillstayherelondonl
Sunrise in Hillingdon! :) Double Deluxe Suit ity Hotel Guest,Sunrise in Hillingdon! :) Double Deluxe Suit ity Hotel Guest,"Double Bedroom equipped with free Tea Coffee and clean towels. The bathroom is also equipped with toiletries. The space Room will comfortably fit 2 people. 10 minutes away from Heathrow airport by Car. Buses available to Heathrow as well. Approx only 1 minute walk to bus stop. The room is a double bedroom fully furnished. It has a double bed, wardrobes and dressing table. Fully carpeted and has blinds and curtains for a complete blackout effect. Buses with 1 minute walk from the house are U1, U3 and U5. U4 would be about 10 minutes walk. They all serve Uxbridge and West Drayton train Station (20 minutes train into Central London - Paddington) Bathroom is rite next to the room and is very clean. Clean towels and bedsheets etc are provided on arrival. There is wifi connection at the property available free of charge and a laundry service is also available but at an extra charge. Please not",SUNNY STUDIO WITH FREE TEACH COFFEE! METRO AWAYS!!! KITCHEN 
Sunshine Pent House! Fitz Roo !!!!!! Guest Feedback We are d,Stay at our Central Pent House! | Guest Feedback Few days ag,"Clean well-equipped apt and terrace in very central desirable arty and foodie Fitzrovia, W1. Free wifi. Walk to tourist London or use the close by tubes. Head in any direction for a great day out. Amazing choice of restaurants, pubs & supermarkets. The space Give your stay the wow factor in this stunning central London penthouse located in wonderful Fitzroy Street in the heart of Fitzrovia (W1T 4BL)! If you're looking for something special, this is it. This gorgeous contemporary, light and bright, clean apartment is tastefully decorated and offers everything you'll need you'll need for an enjoyable, stylish, convenient, comfortable stay. It is well-maintained and is offered in excellent condition. There is woodstrip flooring throughout. There is free unlimited wifi access and free Netflix (film service) through the TV. Patio doors open to a stunning large sunny terrace. With views of two landmarks - the London Eye and the BT To",Stay at our Central Pent House! | Guest Feedback Few days ag
Sunset View Bedroom - Private Room (North Side) NELWL,Sunrised HQ Studios - Trafalgar Square View (E) Close Walkin,"The space Enjoy 'village life' in our capital city! If you're looking for a quiet, relaxed homestay, in a lovely area of West London, just a 15 minute walk to the tube, this is the choice for you! We live in a cul-de-sac in Pitshanger Village, North Ealing, just minutes from the delightful Pitshanger Lane shopping street on the E2 and E9 bus routes and a 10-15 minute walk to Ealing Broadway station. Oxford Street and Notting Hill are 28 and 20 minutes by tube respectively.I have lived in London all my life and will be happy to give you any information and advice you need. If you wish to improve your English, I may also be able to give you English lessons, as that is my area of expertise The room features a very comfortable single bed with new IKEA mattress, a spacious chest of drawers, a built-in wardrobe plus bookcase and stereo cds if you want to use them. For a second guest a separate bed can be added to the room at an additional cost. ",Sunrised HQ Studios - Trafalgar Square View (E) Close Walkin
Sunrise Studios! Quiet Zone by Piccadilly Line (29) Stay at ,Sunrise Studios! Quiet Zone by Piccadilly Line (29) Stay at ,"The space This newly finished bijou studio flat is adjacent to the owner's home and art studio and has an independent entrance. It is wonderfully secluded, yet situated in the heart of London's culturally rich South Bank. Beautifully detailed and designed, this unique space sits behind our Georgian terraced house. Private, en suite bathroom with shower. The studio is well appointed with all new appliances. The kitchenette includes a microwave, refrigerator kettle, sink and is suitable for preparing basic ready-meals, coffee and tea but is not appropriate for full scale cooking; double bed, WIFI, hairdryer, iron + ironing board. Sheets and towels are provided. For stays longer than 1 week, we arrange for a cleaner to come refresh the flat. We consider ourselves very lucky to be in such a fabulous location. This vibrant neighborhood has numerous restaurants and shops and Borough Food Market is a 15 minute walk. The cultural amenities of th",Cosiness by River! (& Close Walk) - Gorgeosky   StayinLondon
Sunrise Flats Near Tube (Steep) - Step From Pub! LondonStudi,Flats near Central Zone + Metros! Guest access All rooms (in,"This is a terraced ground floor flat that was built in the 20s. Very typical of the terraced houses of London. It's located five minutes from the main road where you will find supermarkets, restaurants and local businesses. There is a local convenience store opposite, and its about 15 minutes by bus to the 2012 Olympic Park and Westfield Stratford shopping centre. The Excel is a short five minute ride by bus. The space Self catering two bedroom purpose built ground floor apartment . Wood laminated flooring through out. It has a delightful garden as well as a separate dining area which is adjacent to the modern spacious fitted kitchen. There is one master bedroom with a comfortable double bed and fitted wardrobes, and one bedroom with two single beds. It can comfortably accommodate four people. There is also a sofa bed in the reception area. Towels and bed linen provided. Recently decorated, the property comes with everything you need for a p",Flats near Central Zone + Metros! Guest access All rooms (in
Sunshiny Room near Central Line! :)   LondonLove (32 chars,Sunrise Flat near West End! (Steeped) Guest experience ity F,"This fine property in the heart of Camden Town Chalk Farm combines the traditional Georgian townhouse with sleek and modern design, great for open plan living. This cool house is a calm antidote to the hustle and bustle of London life. The space I have a amazing house which is situated just by Camden Lock's famous Stables Market. The House; There are three bedrooms in the house, two big doubles and one smaler room with a small double. I also have an inflatable single bed and an inflatable double bed, so you can comfortably sleep 9 or 10 in the house. You could also set up a duvet on the sofa downstairs. The Area; The house is just steps from the famous Camden Lock Market, where you can visit the unique shops, and grab a vintage bargain, or hang out at Proud, the bar that has seen performances from Amy Winehouse and Coldplay. On the high street you will also find zillions of restaurants and clubs, bars and coffee sho",Sunrise Flat near West End! (Steeped) Guest experience ity F
Sunlit Floor Loft - Central Zone!,Sunlit studio w stairs! Guest reviews Generous host - lovely,"A large and sunny two bedroom second floor apartment, perfect for a family. Well located to enjoy all the delights of London yet has a home from home environment that brings guests back year after year. September 2018 a total redec, new kitchen and flooring throughout The space Family friendly accommodation in London. We are ideally situated to offer tourists easy access to central London's major sites, Greenwich and the Kent countryside is also accessible. The large gardens have lawn and patio areas complete with furniture and for the children a variety of outdoor game equipment and swings. Each apartment has been converted to provide comfortable acommodation with excellent decor and furnished to a high standard. Internet access to all apartments. All bed linen and towels are provided. Apartments are centrally heated. This London self catering apartment has a large lounge dining area, south facing windows so ",Sunlit studio w stairs! Guest reviews Generous host - lovely
Sunrise Balloon Room in Central London! :) Guest reviews (1),Sunlit studio in great central location! Lots of green space,"Completely refurbished 2 bedroom apt to sleep 4 people. This sunny apt has open plan lounge dining kitchen with access to a large private balcony overlooking the garden. The main bedroom is en-suite and can be king or twin beds. The lounge is comfortable, the kitchen is well equipped. The bathrooms have walk-in showers. Bedroom 2 can have king or twin beds. There is access to large garden, indoor pool and games room. Free parking and wifi. The indoor pool is available from 4pm and is shared.",Sunlit studio in great central location! Lots of green space
